Publication Number,DWPIManualCodes
US10586265B2,T01-N03A2
US10586265B2,T01-S03
US10580059B2,T01-J05A
US10580059B2,T01-N02A1A
US10580059B2,T01-N03A1
US10565635B2,T01-J05A
US10565635B2,T01-J05B4P
US10565635B2,T01-J10B2A
US10565635B2,T01-J10B3
US10565635B2,T01-N01A
US10565635B2,T01-N01D1B
US10552920B2,T01-J05A1
US10552920B2,T01-J05A2A
US10552920B2,T01-S03
US10552818B2,T01-N01A1
US10552818B2,T01-N02B2A
US10552818B2,T01-S03
US10546304B2,T01-J05B4P
US10546304B2,T01-J40B
US10546304B2,T01-N01A
US10546304B2,T01-N02A3
US10546304B2,T01-S03
US9972038B2,T01-J12
US9972038B2,T01-J20B1
US9972038B2,T01-N01A
US9972038B2,T01-N02A3C
US9972038B2,T01-N02B2
US9972038B2,T01-N03A2
US9972038B2,T01-S03
US9965796B2,T01-N01A1
US9965796B2,T01-N01A2D
US9965796B2,T01-N02A3C
US9965796B2,T01-N02B1C
US9965796B2,T01-S03
WO2015105959A1,T01-N01A2E
WO2015105959A1,T01-N02B1B
WO2015105959A1,T01-S03
US9524507B2,T01-C03A
US9524507B2,T01-D01
US9524507B2,T01-J05B4P
US9524507B2,T01-N01A
US9524507B2,T01-N02A3
US9524507B2,T01-S03
US9524507B2,W01-A05A1
US9524507B2,W01-C01D3C
US9524507B2,W01-C01G8S
US9524507B2,W01-C01R
US10438275B2,T01-J05A2B
US10438275B2,T01-S03
US10423998B2,T01-N01A2
US10423998B2,T01-N03A2
US10423998B2,T01-S03
US10445845B2,T01-J05A1
US10445845B2,T01-J05B4P
US10445845B2,T01-J11E
US10445845B2,T01-J12
US10445845B2,T01-M06A1
US10445845B2,T01-N01A1
US10445845B2,T01-N03A1C
US10445845B2,T01-S03
US10430796B2,T01-J12B
US10430796B2,T01-J12C1
US10430796B2,T01-J21
US10430796B2,T01-N01A1
US10430796B2,T01-N02A3
US10430796B2,T01-S03
US10430796B2,W01-C01D3C
US10430796B2,W01-C01G8A
US10430796B2,W01-C01G8S
US10430787B2,T01-C03C
US10430787B2,T01-F05B2
US10430787B2,T01-N01A1
US10430787B2,T01-N01D3
US10430787B2,T01-N02A3
US10430787B2,T01-S03
US10510108B2,T01-N01A2E
US10510108B2,T01-S03
WO2018064223A1,T01-N01A2E
WO2018064223A1,T01-S03
US10521836B2,T01-N01A2D
US10521836B2,T01-N01A2E
US10521836B2,T01-N01D
US10521836B2,T01-N03A2
US10521836B2,T01-S03
US10515393B2,T01-J10B2
US10515393B2,T01-N01A
US10497047B2,T01-N01A1
US10497047B2,T01-N02A3C
US10497047B2,T01-N03A1
US10497047B2,T01-S03
US10497036B2,T01-J05A
US10497036B2,T01-S03
US10497036B2,W01-A06C4
US9947036B2,T01-N01A
US9947036B2,T01-S03
US9947046B2,T01-N01A1
US9947046B2,T01-N01D2
US9947046B2,T01-N02B2
US9947046B2,T01-N03A1
US9147210B2,T01-J12C
US9147210B2,T01-N01A1
US9147210B2,T01-N01A2
US9147210B2,T01-N02B1B
US9147210B2,T01-N03A1
US10169786B2,T01-J30B1
US10169786B2,T01-J30D
US10169786B2,T01-M06A1
US10169786B2,T01-N01A
US10169786B2,T01-N01B5
US10169786B2,T01-N03B1
US10169786B2,W01-C01D3C
US10169787B2,T01-E04
US10169787B2,T01-J05B2B
US10169787B2,T01-N01A1
US10169787B2,T01-N02B1A
US10037563B2,T01-J11A1
US10037563B2,T01-N01A1
US10037564B2,T01-E01A
US10037564B2,T01-J05B4P
US10037564B2,T01-N01A
US10037564B2,T01-N02B1B
US10037564B2,T01-S03
US10043206B2,T01-E01C
US10043206B2,T01-J07D3
US10043206B2,T01-M06A1
US10043206B2,T01-N01A2D
US10043206B2,T01-N03A2
US10043206B2,T01-S03
US10037562B2,T01-N01A1
US10037562B2,T01-N01D1B
US10037562B2,T01-N01D3
US10037562B2,T01-N03A1
US10037562B2,T01-S03
EP2989602A4,T01-N01A1
EP2989602A4,T01-N02B1B
EP2989602A4,T01-S03
EP2989602A1,T01-N01A1
EP2989602A1,T01-N02B1B
EP2989602A1,T01-S03
US10152712B2,T01-J05A1
US10043184B2,T01-J10B2A
US10043184B2,T01-S03
US10460316B2,T01-N01A1
US10460316B2,T01-N02A3C
US10460316B2,T01-N02B1B
US10460316B2,T01-S03
US10467626B2,T01-J12C
US10467626B2,T01-M06A1
US10467626B2,T01-N01A1
US10467626B2,T01-N01A2E
US10467626B2,T01-N02A1
US10467626B2,T01-N02B1B
US10467626B2,T01-N03B1
US10467626B2,T01-S03
US10467626B2,W01-A06C4
US10467626B2,W01-A06F
US10467624B2,T01-D01
US10467624B2,T01-N01A1
US10467624B2,T01-N02A3C
US10467624B2,T01-S03
US10467624B2,W01-A05A
US10467624B2,W01-C01D3C
US10467624B2,W01-C01G8S
US10453068B2,T01-J05B4P
US10453068B2,T01-N01A1
US10453068B2,T01-N01D
US10453068B2,T01-N02B1B
US10453068B2,T01-S03
US10373161B2,T01-C03C
US10373161B2,T01-N01A1
US10373161B2,T01-N02A3C
US10373161B2,T01-N02B1B
US10373161B2,T05-H02B
US10373161B2,T05-H03
US10373161B2,T05-L01D
US10373160B2,T01-N01A1
US10373160B2,T01-S03
US10373160B2,W01-C01D3C
US10181123B2,T01-M06A1
US10181123B2,T01-N01A1
US10181123B2,T01-N02B1B
US10181123B2,T05-L02
US10181123B2,T05-L03C1
US10185961B2,T01-J05B2C
US10185961B2,T01-J05B4P
US10185961B2,T01-N01A1
US10185961B2,T01-N02B1B
US10185961B2,T01-S03
US9710812B2,T01-J05B4P
US9710812B2,T01-N01A1
US9710812B2,T01-N01A2D
US9710812B2,T01-N02B1B
US9710812B2,T01-N02B1G
US9710812B2,T01-S03
US9710812B2,W01-A06G5C
US9881303B2,T01-J10B2A
US9881303B2,T01-N01A1
US9881303B2,T01-N03A1
US9881303B2,T01-S03
US9881303B2,T04-D07F1
US9881303B2,T05-L02
WO2019241691A1,T01-D01
WO2019241691A1,T01-J05B4P
WO2019241691A1,T01-J18
WO2019241691A1,T01-N01A1
WO2019241691A1,T01-N02B1B
WO2019241691A1,T01-N03A2
WO2016144400A1,T01-J05A
WO2016144400A1,T01-N02A3C
WO2016144400A1,T01-S03
US9741074B2,T01-J07D1
US9741074B2,T01-N01A1
US9741074B2,T01-N02A3C
US9741074B2,T01-S03
WO2016144399A1,T01-J07D1
WO2016144399A1,T01-N01A1
WO2016144399A1,T01-N02A3C
WO2016144399A1,T01-S03
EP3341904A4,S01-G02B
EP3341904A4,T01-J05A
EP3341904A4,T01-S03
EP3341904A1,S01-G02B
EP3341904A1,T01-J05A
EP3341904A1,T01-S03
WO2017035399A1,S01-G02B
WO2017035399A1,T01-J05A
WO2017035399A1,T01-S03
EP3224783A4,T01-E01A
EP3224783A4,T01-J05A
EP3224783A4,T01-J05B4P
EP3224783A4,T01-J12C1
EP3224783A4,T01-S03
EP3224783A2,T01-E01A
EP3224783A2,T01-J05A
EP3224783A2,T01-J05B4P
EP3224783A2,T01-J12C1
EP3224783A2,T01-S03
WO2016085888A3,T01-E01A
WO2016085888A3,T01-J05A
WO2016085888A3,T01-J05B4P
WO2016085888A3,T01-J12C1
WO2016085888A3,T01-S03
WO2016085888A2,T01-E01A
WO2016085888A2,T01-J05A
WO2016085888A2,T01-J05B4P
WO2016085888A2,T01-J12C1
WO2016085888A2,T01-S03
US9275389B1,T01-E01A
US9275389B1,T01-J05A
US9275389B1,T01-J05B4P
US9275389B1,T01-J12C1
US9275389B1,T01-S03
US10304048B2,T01-C03A
US10304048B2,T01-J05B4P
US10304048B2,T01-N01A1
US10304048B2,T01-N02B1B
US10304048B2,T01-S03
EP2951762A1,T01-F05G
EP2951762A1,T01-J05B2C
EP2951762A1,T01-N01A1
EP2951762A1,T01-N02B1E
EP2951762A1,T01-S03
EP2951762A1,W01-C01D3C
EP2951762A1,W01-C01G8
EP2951762A1,W01-C01P2
EP2951762A1,W01-C01Q
US9208482B2,T01-F05G
US9208482B2,T01-J05B2C
US9208482B2,T01-N01A1
US9208482B2,T01-N02B1E
US9208482B2,T01-S03
US9208482B2,W01-C01D3C
US9208482B2,W01-C01G8
US9208482B2,W01-C01P2
US9208482B2,W01-C01Q
WO2014130222A1,T01-F05G
WO2014130222A1,T01-J05B2C
WO2014130222A1,T01-N01A1
WO2014130222A1,T01-N02B1E
WO2014130222A1,T01-S03
WO2014130222A1,W01-C01D3C
WO2014130222A1,W01-C01G8
WO2014130222A1,W01-C01P2
WO2014130222A1,W01-C01Q
WO2019126585A1,T01-N01A1
WO2019126585A1,T01-S03
US9846877B2,T01-M06A1
US9846877B2,T01-N01A1
US9846877B2,T01-N01D
US9846877B2,T01-S03
US9846877B2,W01-C01D3C
US9846877B2,W02-C02G7
WO2018075213A1,T01-J16B
WO2018075213A1,T01-N01B3
WO2018075213A1,T01-S03
WO2018075213A1,W04-W05A
US10296899B2,T01-N01A1
US10296899B2,T01-N02B1B
US10296899B2,T01-S03
US10586235B2,T01-J04B2
US10586235B2,T01-J05B3
US10586235B2,T01-N01A1
US10586235B2,T01-N01B3
US10586235B2,T01-N03A2
US10586235B2,T01-S03
US10586235B2,W04-W05A
US10586235B2,W04-X03E1E
US10586231B2,T01-J12
US10586231B2,T01-N01A1
US10586231B2,T01-N01A2
US10586231B2,T01-S03
US10546296B2,T01-H01A
US10546296B2,T01-N01A1
US10546296B2,T01-N02B1B
US10546296B2,T01-S03
US10565596B2,T01-J05A
US10565596B2,T01-J20B1
US10565596B2,T01-S03
US10546297B2,T01-E01C
US10546297B2,T01-F05B2
US10546297B2,T01-N01A1
US10546297B2,T01-N01D2
US10546297B2,T01-S03
US10235659B2,T01-J05A1
US10235659B2,T01-S03
US10535066B2,T01-J05A
US10535066B2,T01-J20B1
US10535066B2,T01-S03
EP3011516A4,T01-J05A
EP3011516A4,T01-J20B1
EP3011516A4,T01-S03
EP3011516A1,T01-J05A
EP3011516A1,T01-J20B1
EP3011516A1,T01-S03
US10489787B2,T01-N01A1
US10489787B2,T01-N02A3C
US10489787B2,T01-N02B1B
US10489787B2,T01-S03
US9947011B2,T01-M06A1A
US9947011B2,T01-N01A1
US9947011B2,T01-N02B1B
US9947011B2,T01-N02B1G
US9947011B2,T01-S03
US9947011B2,W01-C01D3C
US9947011B2,W01-C01G8
US9947011B2,W01-C01P2
WO2014081453A1,T01-M06A1A
WO2014081453A1,T01-N01A1
WO2014081453A1,T01-N02B1B
WO2014081453A1,T01-N02B1G
WO2014081453A1,T01-S03
WO2014081453A1,W01-C01D3C
WO2014081453A1,W01-C01G8
WO2014081453A1,W01-C01P2
US9934505B2,T01-J05A
US9934505B2,T01-S03
EP3289550A4,T01-F05B2
EP3289550A4,T01-J05A
EP3289550A4,T01-J12C1
EP3289550A4,T01-S03
EP3289550A1,T01-F05B2
EP3289550A1,T01-J05A
EP3289550A1,T01-J12C1
EP3289550A1,T01-S03
WO2016175896A1,T01-F05B2
WO2016175896A1,T01-J05A
WO2016175896A1,T01-J12C1
WO2016175896A1,T01-S03
WO2019210251A1,T01-F02A
WO2019210251A1,T01-F02C4
WO2019210251A1,T01-F05F
WO2019210251A1,T01-J05B4M
WO2019210251A1,T01-S03
US10504108B2,T01-J05A1
US10504108B2,T01-J12C
US10504108B2,T01-N01A1
US10504108B2,T01-N02B1B
US10504108B2,T01-S03
US10504108B2,T05-L02
US10504108B2,T05-L03C1
US10504108B2,W01-A06C4
US10504108B2,W01-A06F
US10504108B2,W01-C01D3C
US10504108B2,W01-C01G8S
WO2019118939A1,T01-J05A
WO2019118939A1,T01-J12C
WO2019118939A1,T01-S03
WO2019118939A1,W04-W05A
WO2019133668A1,T01-J05B4P
WO2019133668A1,T01-N01A1
WO2019133668A1,T01-N01D3
WO2019133668A1,T01-S03
US10438197B2,T01-D01
US10438197B2,T01-E04
US10438197B2,T01-J05B2B
US10438197B2,T01-N01A1
US10438197B2,T01-N02B1A
US10438197B2,T01-N02B1B
US10438197B2,T01-S03
US10552833B2,T01-N01A1
US10552833B2,T01-N01D3
US10552833B2,T01-S03
US10366386B2,T01-J05B4P
US10366386B2,T01-N01A1
US10366386B2,T01-N01D
US10366386B2,T01-S03
EP3044743A4,T01-J05B4P
EP3044743A4,T01-N01A1
EP3044743A4,T01-N01D
EP3044743A4,T01-S03
EP3044743A1,T01-J05B4P
EP3044743A1,T01-N01A1
EP3044743A1,T01-N01D
EP3044743A1,T01-S03
EP2856407A4,T01-N01A1
EP2856407A4,T01-N01C
EP2856407A4,W01-C01D3C
EP2856407A4,W01-C01G6C
EP2856407A1,T01-N01A1
EP2856407A1,T01-N01C
EP2856407A1,W01-C01D3C
EP2856407A1,W01-C01G6C
WO2013177548A1,T01-N01A1
WO2013177548A1,T01-N01C
WO2013177548A1,W01-C01D3C
WO2013177548A1,W01-C01G6C
US10257279B2,T01-F05B2
US10257279B2,T01-N01A
US10257279B2,T01-N01D3
US10257279B2,T05-L02
US9154555B2,T01-F05B2
US9154555B2,T01-N01A
US9154555B2,T01-N01D3
US9154555B2,T05-L02
WO2018067364A1,T01-C03C
WO2018067364A1,T01-J05A
WO2018067364A1,T01-M06A1
WO2018067364A1,T01-N01A1
WO2018067364A1,T01-S03
WO2018067364A1,W01-A06C4
WO2018067364A1,W01-C01D3C
WO2018067364A1,W01-C01G8S
US10096021B2,T01-N01A1
US10096021B2,T01-N01D3
WO2016175897A1,T01-F05B2
WO2016175897A1,T01-J05B4P
WO2016175897A1,T01-J12C2
WO2016175897A1,T01-M06S
WO2016175897A1,T01-N01A1
WO2016175897A1,T01-N02A3C
WO2016175897A1,T01-N02B1B
WO2016175897A1,T01-N02B2
WO2016175897A1,T05-L02
WO2016175897A1,T05-L03C5
WO2016175897A1,W01-C01D3C
WO2016175897A1,W01-C01G8A
WO2016175897A1,W01-C01G8S
WO2016175897A1,X27-A03
US9361647B2,T01-J17
US9361647B2,T01-N01A1
US9361647B2,T01-S03
US9659294B2,T01-J05A
US9659294B2,T01-N01A1
US9659294B2,T01-S03
US9659294B2,T05-L02
US9659294B2,T05-L03C1
US9659294B2,W01-C01D3C
US10254801B2,T01-C02B
US10254801B2,T01-J05A
US10254801B2,T01-M06A1A
US10254801B2,T01-S03
US10254801B2,T05-L01B
US10254801B2,T05-L01D
US10467616B2,T01-J12C
US10467616B2,T01-N01A1
US10467616B2,T01-N02A3C
US10467616B2,T01-N02B1B
US10467616B2,T05-L01D
US10460310B2,T01-M06S
US10460310B2,T01-N01A1
US10460310B2,T01-N02A3C
US10163095B2,T01-J05B4B
US10163095B2,T01-M06S
US10163095B2,T01-N01A1
US10163095B2,T01-N02A2C
US10163095B2,T01-N02A3C
US10163095B2,T01-N02B2B
US10163095B2,T01-S03
US10037082B2,T01-C03C
US10037082B2,T01-N01A1
US10037082B2,T01-N01B1
US10037082B2,T01-N01D1B
US10037082B2,T01-N01D3
US10037082B2,T01-N02B1B
US10037082B2,T01-S03
US10037082B2,W01-C01D3C
US10037082B2,W01-C01G8
US10037082B2,W01-C01P2
US10037082B2,W04-E30A5
US10037082B2,W04-X02C
US10074086B2,T01-N01A1
US10074086B2,T01-N01D3
US10074086B2,T01-N02A1B
US10074086B2,T01-S03
US10176474B2,T01-J05A1
US10176474B2,T01-N01A1
US10176474B2,T01-S03
US10176474B2,T05-L01C1
US10176474B2,T05-L01D
US10176474B2,W01-C01D3C
US10176474B2,W01-C01G8
US10176474B2,W01-C01P2
US9589263B2,T01-N01A1
US9589263B2,T01-N02B1B
US9589263B2,T01-S03
WO2016144401A1,T01-J12
WO2016144401A1,T01-N01A1
WO2016144401A1,T01-N01D1B
WO2016144401A1,T01-N01D3
WO2016144401A1,T01-S03
WO2016144401A1,W01-C02B7F
WO2016133576A1,T01-N01A1
WO2016133576A1,T01-N02B1B
US10304050B2,T01-N01A1
US10304050B2,T01-N01D3
US10304050B2,T01-N02A3
US10304050B2,T01-N02B1B
US10304050B2,T01-S03
US10304050B2,W01-C01D3C
US10304050B2,W01-C01G8
US10304050B2,W01-C01P2
US10304050B2,W01-C01R
US10304050B2,W01-C05B6
US10579983B2,T01-J05A
US10579983B2,T01-S03
US10558970B2,T01-J05B4P
US10558970B2,T01-M06A1
US10558970B2,T01-N01A1
US10558970B2,T01-S03
US10558970B2,W01-C01D3C
US10558970B2,W01-C01G8S
US10552821B2,T01-C03C
US10552821B2,T01-J05B4P
US10552821B2,T01-N01A1
US10552821B2,T01-N02A1
US10552821B2,T01-S03
US10552821B2,T05-L02
US10552821B2,W01-A07G
EP2951762A4,NA
EP3155572A4,T01-J12C
EP3155572A4,T01-N02B1B
EP3155572A4,T01-S03
US9858405B2,T01-J12C
US9858405B2,T01-N02B1B
US9858405B2,T01-S03
EP3155572A1,T01-J12C
EP3155572A1,T01-N02B1B
EP3155572A1,T01-S03
US10346827B2,T01-C03C
US10346827B2,T01-C04C
US10346827B2,T01-N01A1
US10346827B2,T01-N02A3C
US10346827B2,T01-N02B1B
US10346827B2,T01-S03
US10346827B2,U14-K01
US10332096B2,T01-M06S
US10332096B2,T01-N01A1
US10332096B2,T01-N02A3C
US10332096B2,T01-N02B1B
US10332096B2,W01-A06C4
US9990624B2,T01-J05B4P
US9990624B2,T01-N01A1
US9990624B2,T01-N01D3
US9990624B2,T01-N02A2C
US9990624B2,T01-N02A3
US9990624B2,T01-S03
US9990624B2,W01-C01D3C
US9990624B2,W01-C01G8S
US9558485B2,T01-N01A1
US9558485B2,T01-N01D
US9558485B2,T01-N02A2E
US9558485B2,T05-L02
US9558485B2,W01-C01D3C
US9558485B2,W01-C01P2
US10127542B2,T01-C03A
US10127542B2,T01-C03C
US10127542B2,T01-J17
US10127542B2,T01-N01A1
US10127542B2,T01-N01D
US10127542B2,T01-N02A3
US10127542B2,T01-S03
US10127542B2,W06-A01
US10445723B2,T01-J05A
US10445723B2,T01-N01A1
US10445723B2,W01-C01D3C
US10445723B2,W01-C01R
US10395238B2,T01-M06A1A
US10395238B2,T01-N01A1
US10395238B2,T01-N01D
US10395238B2,T01-N02A2E
US10395238B2,T01-S03
US10395238B2,T04-K02B
US10395238B2,T04-K03B
US10417656B2,T01-J05A1
US10417656B2,T01-J12A
US10417656B2,T01-J12B1
US10417656B2,T01-S03
US10535057B2,T01-J05A
US10535057B2,T01-L01
US10535057B2,T01-S03
US10515353B2,T01-J12C1
US10515353B2,T01-N01A1
US10515353B2,T01-N01D
US10515353B2,T01-N02A1
US10515353B2,T01-N02B1B
US10515353B2,T01-S03
US10515353B2,T04-K03B
US10515353B2,T05-L01C3
US10515353B2,T05-L01D
WO2014008920A1,T01-N01A1
WO2014008920A1,T01-N01D3
WO2014008920A1,W01-C01D3C
US10430778B2,P81-A50E1
US10430778B2,T01-J10B2
US10430778B2,T01-J40C
US10430778B2,T01-N01A1
US10430778B2,T01-N02A3C
US10430778B2,T01-S03
US10430778B2,W04-W07E1
WO2019067697A1,P81-A50E1
WO2019067697A1,T01-J10B2
WO2019067697A1,T01-J40C
WO2019067697A1,T01-N01A1
WO2019067697A1,T01-N02A3C
WO2019067697A1,T01-S03
WO2019067697A1,W04-W07E1
US10445715B2,T01-N01A1
US10445715B2,T01-N01D
US10445715B2,T01-S03
US10445715B2,T05-L01D
US9691062B2,T01-N01A1
US9691062B2,T05-L02
US9691062B2,W01-C01B3E
US9691062B2,W01-C01D3C
US9691062B2,W01-C01G8
US9691062B2,W01-C01P2
US9691062B2,W03-A08E7A
US9691062B2,W03-A16E
WO2017083421A1,T01-J12
WO2017083421A1,T01-N01A1
WO2017083421A1,T01-N02B1B
WO2017083421A1,T01-S03
US10318946B2,T01-J05A1
US10318946B2,T01-S03
US9990620B2,T01-N01A1
US9990620B2,T01-N01D3
US9978052B2,T01-N01A1
US9978052B2,T01-N01A2D
US9978052B2,T01-S03
WO2018071196A1,T01-J05B4P
WO2018071196A1,T01-N01A1
WO2018071196A1,T01-N01D3
WO2018071196A1,T01-N02A3
WO2018071196A1,T01-S03
EP3523767A4,T01-M06A1
EP3523767A4,T01-N01A1
EP3523767A4,T01-N01D
EP3523767A4,T01-N02A2
EP3523767A4,T01-S03
EP3523767A4,W01-C01D3C
EP3523767A4,W01-C01G8S
EP3523767A1,T01-M06A1
EP3523767A1,T01-N01A1
EP3523767A1,T01-N01D
EP3523767A1,T01-N02A2
EP3523767A1,T01-S03
EP3523767A1,W01-C01D3C
EP3523767A1,W01-C01G8S
WO2018071197A1,T01-M06A1
WO2018071197A1,T01-N01A1
WO2018071197A1,T01-N01D
WO2018071197A1,T01-N02A2
WO2018071197A1,T01-S03
WO2018071197A1,W01-C01D3C
WO2018071197A1,W01-C01G8S
US10489755B2,T01-N01A1
US10489755B2,T01-S03
US10489755B2,T05-L01D
EP3011498A4,T01-N01A1
EP3011498A4,T01-S03
EP3011498A4,T05-L01D
EP3011498A1,T01-N01A1
EP3011498A1,T01-S03
EP3011498A1,T05-L01D
EP2994862A4,NA
EP3602449A1,T01-J05A1
EP3602449A1,T01-J12C
EP3602449A1,T05-H02C
EP3602449A1,T05-L01B
EP3602449A1,T05-L01D
EP3602449A1,W02-G05B
WO2018174773A1,T01-J05A1
WO2018174773A1,T01-J12C
WO2018174773A1,T05-H02C
WO2018174773A1,T05-L01B
WO2018174773A1,T05-L01D
WO2018174773A1,W02-G05B
US10192210B2,T01-C03A
US10192210B2,T01-J05B4P
US10192210B2,T01-N01A1
US10192210B2,T01-N01C
US10192210B2,T01-N01D3
US10192210B2,T01-N02A3
US10192210B2,T01-S03
US10579979B2,T01-J12
US10579979B2,T01-N01A1
US10579979B2,T01-N01D3
US10579979B2,T01-S03
US10387862B2,T01-J05A
US10387862B2,T01-J12C
US9633345B2,T01-J05A1
US9633345B2,T01-J12C
US9633345B2,T05-L01D
WO2014008922A1,T01-D01
WO2014008922A1,T01-N01A1
WO2014008922A1,T01-N01D3
WO2014008922A1,W01-A05A
WO2014008922A1,W01-C01D3C
EP2994862A1,T01-J17
EP2994862A1,T01-N01A1
EP2994862A1,T01-S03
EP2994862A1,W01-C01D3C
EP2994862A1,W01-C01G8
EP2994862A1,W01-C01P2
US9324075B2,T01-J05A
US9324075B2,T01-J12C
US9324075B2,T01-S03
US10271161B2,T01-J05B4P
US10271161B2,T01-N01A1
US10271161B2,T01-S03
US10271161B2,W01-A06C4
US10311434B2,T01-N01A2
US10311434B2,T01-N01D3
US10311434B2,T01-S03
US10210501B2,T01-C03C
US10210501B2,T01-J05B4P
US10210501B2,T01-N01A1
US10210501B2,T01-S03
US10210501B2,T05-H04
US10210501B2,T05-H08C1
US10210501B2,W01-C01D3C
US10210501B2,W01-C01G8
US10210501B2,W01-C01P2
US10210501B2,W01-C01R
US9633383B2,T01-N01A1
US9633383B2,T01-N02A3C
US9633383B2,T01-S03
WO2015105960A1,T01-J05B4P
WO2015105960A1,T01-J07D1
WO2015105960A1,T01-N01A1
WO2015105960A1,T01-N01A2E
WO2015105960A1,T01-N02A3C
WO2015105960A1,T01-N02B2
WO2015105960A1,T01-S03
US7177830B2,T01-N01A2A
US9569759B2,T01-M06A1
US9569759B2,T01-N01A1
US9569759B2,T01-N02B1B
US9569759B2,T01-N02B1C
US9569759B2,T01-S03
US9569759B2,W01-C01D3C
US9569759B2,W01-C01G8
US9569759B2,W01-C01P2
US10115089B2,T01-J05B2C
US10115089B2,T01-N01A1
US10115089B2,T01-N02A1A
US10115089B2,T01-N02A3
US10115089B2,T01-N03B2
US10115089B2,T01-S03
US10115089B2,W01-A03B
US10115089B2,W01-A06B5A
US10115089B2,W01-A06C4E
US10115089B2,W01-A06F2A
US10115089B2,W01-C01D3C
US10115089B2,W01-C01G8S
US10115089B2,W01-C01R
EP3449447A4,T01-M06A1
EP3449447A4,T01-N01A1
EP3449447A4,T01-N02B2A
EP3449447A4,T01-N03A1
EP3449447A4,T01-S03
EP3449447A1,T01-M06A1
EP3449447A1,T01-N01A1
EP3449447A1,T01-N02B2A
EP3449447A1,T01-N03A1
EP3449447A1,T01-S03
WO2017189917A1,T01-M06A1
WO2017189917A1,T01-N01A1
WO2017189917A1,T01-N02B2A
WO2017189917A1,T01-N03A1
WO2017189917A1,T01-S03
EP1381986A4,T01-N01A1
EP1381986A4,T05-L01D
EP1381986A4,T05-L02
US7249094B2,T01-N01A1
US7249094B2,T05-L01D
US7249094B2,T05-L02
EP1381986A2,T01-N01A1
EP1381986A2,T05-L01D
EP1381986A2,T05-L02
WO2002069092A3,T01-N01A1
WO2002069092A3,T05-L01D
WO2002069092A3,T05-L02
WO2002069092A2,T01-N01A1
WO2002069092A2,T05-L01D
WO2002069092A2,T05-L02
WO2018067397A1,T01-J05B4P
WO2018067397A1,T01-J18
WO2018067397A1,T01-N01A1
WO2018067397A1,T01-S03
WO2018067397A1,W04-V01
WO2018067397A1,W04-V04A3
WO2018067397A1,W04-V05
US10002354B2,T01-M02
US10002354B2,T01-N01A1
US10002354B2,T01-S03
US9760872B2,T01-N01A1
US9760872B2,T01-N01A2B
US9760872B2,T01-N01A2J
US9760872B2,T01-N02A3C
US9760872B2,T01-N02B1B
US9760872B2,T01-N03A1
US9760872B2,W01-C01D3C
US9760872B2,W01-C01G8
US9760872B2,W01-C01P2
US9818115B2,T01-J07D1
US9818115B2,T01-N01A1
US9818115B2,T01-N01A2E
US9818115B2,T01-N01D1A
US9818115B2,T01-S03
US9818115B2,T05-L02
US9818115B2,W01-C01Q4
US9818115B2,W01-C02B9
US9818115B2,W01-C05B6
US9818115B2,W04-V04A3A
US9805362B2,T01-C03C
US9805362B2,T01-J05A
US9805362B2,T01-M06A1
US9805362B2,T01-N01A1
US9805362B2,T01-S03
US9805362B2,W02-G02
US9805362B2,W06-A03A5R
US10185959B2,T01-J05A1
US10185959B2,T01-N01A1
US10185959B2,T01-S03
WO2019090357A1,T01-E01C
WO2019090357A1,T01-N01A1
WO2019090357A1,T01-N02A3
WO2019090357A1,T01-S03
WO2002069092B1,NA
US8775306B2,T01-N01A1
US8775306B2,T01-N01A2C
US8775306B2,T01-N01A2F
US8775306B2,T01-N01A3
US8775306B2,T01-N02B1B
US8775306B2,T05-H05A
US8775306B2,T05-H08C1
US8775306B2,T05-L02
US8775306B2,T05-L03C5
US10311439B2,T01-D01
US10311439B2,T01-F05B2
US10311439B2,T01-J05A1
US10311439B2,T01-J12C
WO2016061093A1,T01-D01
WO2016061093A1,T01-F05B2
WO2016061093A1,T01-J05A1
WO2016061093A1,T01-J12C
US10311437B2,T01-C08A
US10311437B2,T01-N01A1
US10311437B2,T01-N01D1A
US10311437B2,T01-N01D2
US10311437B2,T01-S03
US10311437B2,T05-L02
US10311437B2,W04-V04A3
WO2016105895A3,T01-J05A
WO2016105895A3,T01-N01A1
WO2016105895A3,T01-S03
WO2016105895A3,W01-A06C4E
WO2016105895A3,W01-C01D3C
WO2016105895A3,W01-C01G8S
WO2016105895A3,W01-C01R
WO2016105895A2,T01-J05A
WO2016105895A2,T01-N01A1
WO2016105895A2,T01-S03
WO2016105895A2,W01-A06C4E
WO2016105895A2,W01-C01D3C
WO2016105895A2,W01-C01G8S
WO2016105895A2,W01-C01R
US9639837B2,T01-H01A
US9639837B2,T01-N01A1
US9639837B2,T01-N01D3
US9639837B2,T01-S03
US9639829B2,T01-N01A1
US9639829B2,T01-N01D
US10346817B2,T01-N01A1
US10346817B2,T01-N01A2
US10346817B2,T01-N01D3
US10346817B2,T01-N02A3
US10346817B2,T01-S03
US9971998B2,T01-J05B4P
US9971998B2,T01-N01A1
US9971998B2,T01-N01D
US9971998B2,T01-S03
US10134031B2,T01-H01A
US10134031B2,T01-N01A1
US10134031B2,T01-N01D3
US10134031B2,T01-N02B1D
US10134031B2,T01-S03
US10223677B2,T01-J12
US10223677B2,T01-J20B1
US10223677B2,T01-N01A1
US10223677B2,T01-N02A3
