"Publication Number";"Publication Year";"Earliest Priority Year";"Application Year";"DWPI Class";"Assignee/Applicant First";"Inventor - w/address";"Inventor - DWPI";"Inventor Count";"Publication Country Code";"Publication Kind Code";"Publication Date";"Estimated Remaining Life";"Dead/Alive";"Publication Month";"Application Date";"Application Month";"Priority Date";"Priority Month";"Priority Year(s)";"Related Applications";"IPC - Current - DWPI";"IPC Class - DWPI";"IPC Class Group - DWPI";"IPC Section - DWPI";"IPC Subclass - DWPI";"IPC Subgroup - DWPI";"CPC - Current - DWPI";"CPC - Current Primary - DWPI";"CPC - Original Primary - DWPI";"CPC Class - DWPI";"DWPI Manual Codes";"Cited Refs - Patent";"Count of Cited Refs - Patent";"Count of Cited Refs - Non-patent";"Citing Patents";"Count of Citing Patents";"Designated States";"Language of Publication";"DWPI Family Members Dead/Alive";"INPADOC Family ID";"Item Number";"Strategic Importance";"Probability of Grant";"Domain Influence";"Combined Patent Impact";"Probability of Early Lapse"
"US10327099B2";2019;2014;2018;"T01 E";"PayPal Inc.,San Jose,CA,US";"Gnanasekaran Venkatesh,San Jose,CA,US";"GNANASEKARAN V";1;"US";"B2";2019-06-18;"5503 Days , (15 Years)";"Alive";"06";2018-05-01;"05";"2014-08-29";"08 | 08 | 05 | 05";"2014 | 2018 | 2019";"US15968628A,2018-05-01 | US14473198A,2014-08-29";"G06F00169537 | G06F001730 | G06F000704 | G06F000946 | G06Q002032 | G06Q003002 | G06Q003006 | H04M0001725 | H04W002400 | H04W003600 | H04W000402 | H04W0004021 | H04W0004029 | H04W000404 | H04W000433";"G06, H04";"G06F0016, G06F0017, G06F0007, G06F0009, G06Q0020, G06Q0030, H04M0001, H04W0024, H04W0036, H04W0004";"G, H";"G06F, G06Q, H04M, H04W";"G06F00169537, G06F001730, G06F000704, G06F000946, G06Q002032, G06Q003002, G06Q003006, H04M0001725, H04W002400, H04W003600, H04W000402, H04W0004021, H04W0004029, H04W000404, H04W000433";"G06F00169537 | G06Q00203224 | G06Q00203227 | G06Q00300207 | G06Q00300601 | H04M000172572 | H04W0004029 | H04W000433";"G06F00169537";"G06F00169537 | H04W0004021";"G06, H04";"T01-E01 | T01-J12D | T01-S03";"US8661330B1";1;0;NA;0;NA;"EN";"WO2016032617A1 Dead | US20160066140A1 Alive | US9961490B2 Alive | US20180359600A1 Alive | US10327099B2 Alive | US20190347305A1 Indeterminate";"20160303US20160066140A1";10;277;"100.0";284;287;286
"US9961490B2";2018;2014;2014;"T01 E";"PayPal Inc.,San Jose,CA,US";"Gnanasekaran Venkatesh,San Jose,CA,US";"GNANASEKARAN V";1;"US";"B2";2018-05-01;"5503 Days , (15 Years)";"Alive";"05";2014-08-29;"08";"2014-08-29";"08 | 08 | 05 | 05";"2014 | 2018 | 2019";"US14473198A,2014-08-29";"G06F00169537 | G06F001730 | G06F000704 | G06F000946 | G06Q002032 | G06Q003002 | G06Q003006 | H04M0001725 | H04W002400 | H04W003600 | H04W000402 | H04W0004021 | H04W0004029 | H04W000404 | H04W000433";"G06, H04";"G06F0016, G06F0017, G06F0007, G06F0009, G06Q0020, G06Q0030, H04M0001, H04W0024, H04W0036, H04W0004";"G, H";"G06F, G06Q, H04M, H04W";"G06F00169537, G06F001730, G06F000704, G06F000946, G06Q002032, G06Q003002, G06Q003006, H04M0001725, H04W002400, H04W003600, H04W000402, H04W0004021, H04W0004029, H04W000404, H04W000433";"G06F00169537 | G06Q00203224 | G06Q00203227 | G06Q00300207 | G06Q00300601 | H04M000172572 | H04W0004029 | H04W000433";"G06F00169537";"G06F00169537 | H04W0004021";"G06, H04";"T01-E01 | T01-J12D | T01-S03";"US8412237B1 | US20120173897A1 | US20140380382A1 | US20130267224A1 | US20110283334A1 | US20100185736A1 | US20130283215A1";7;0;NA;0;NA;"EN";"WO2016032617A1 Dead | US20160066140A1 Alive | US9961490B2 Alive | US20180359600A1 Alive | US10327099B2 Alive | US20190347305A1 Indeterminate";"20160303US20160066140A1";101;454;"100.0";1756;1568;306
"EP2986946A4";2016;2013;2014;"T01 E |  W01 E";"PAYPAL INC";"CHEUNG DENNIS | COX GREG ALAN | YANG ZHENYIN | YOUNG DAWNRAY | VADDI VISWA | DAVIS TODD | JAIN CHINTAN | SHEA ANDREW | CHINNAKONDA RAJ";"CHEUNG D | CHINNAKONDA R | COX G A | DAVIS T | JAIN C | SHEA A | VADDI V | YANG Z | YOUNG D";9;"EP";"A4";2016-11-16;"0 Years";"Dead";"11";2014-04-15;"04";"2013-04-15 | 2013-12-04 | 2014-04-15";"04 | 12 | 04 | 04 | 12 | 04";"2013 | 2014";NA;"G06Q004004 (IPC 1-7) | G08B002118 (IPC 1-7) | H04W000402 (IPC 1-7) | G01C002134 | G06Q003002 | G06Q004004 | G07C000900 | G08B002118 | G08G000101 | H04L002908 | H04W002400 | H04W000402 | H04W0004021";"G06, G08, H04, G01, G07";"G06Q0040, G08B0021, H04W0004, G01C0021, G06Q0030, G07C0009, G08G0001, H04L0029, H04W0024";"G, H";"G06Q, G08B, H04W, G01C, G07C, G08G, H04L";"G06Q004004 (IPC 1-7), G08B002118 (IPC 1-7), H04W000402 (IPC 1-7), G01C002134, G06Q003002, G06Q004004, G07C000900, G08B002118, G08G000101, H04L002908, H04W002400, H04W000402, H04W0004021";"H04W0004021 | H04L006718 | H04L006722 | H04L006726 | H04W0004029 | G07C000928";"H04W0004021";"H04W0004021";"H04, G07";"T01-J05B4P | T01-M06S | T01-N02A3C | W01-A06C4 | W01-C01D3C";"EP2518678A1 | EP2541484A1 | US20120233238A1";3;1;NA;0;"EP R AL;AT;BE;BG;CH;CY;CZ;DE;DK;EE;ES;FI;FR;GB;GR;HR;HU;IE;IS;IT;LI;LT;LU;LV;MC;MK;MT;NL;NO;PL;PT;RO;RS;SE;SI;SK;SM;TR";"EN";"US20140308977A1 Alive | WO2014172388A1 Dead | AU2014254103A1 Dead | CA2909278A1 Alive | KR2015143722A Alive | CN105308416A Dead | EP2986946A1 Dead | JP2016524203A Alive | US9420418B2 Alive | EP2986946A4 Dead | AU2017203310A1 Dead | CA2909278C Alive";"20141016US20140308977A1";11;10;"1.95";137;131;NA
"US9420418B2";2016;2013;2013;"T01 E |  W01 E";"PayPal Inc.,San Jose,CA,US";"Cheung Dennis,Sunnyvale,CA,US | Cox Greg Alan,Portland,OR,US | Yang Zhenyin,Saratoga,CA,US | Young Dawnray,Camas,WA,US | Vaddi Viswa,Hillsboro,OR,US | Davis Todd,Canby,OR,US | Jain Chintan,Hillsboro,OR,US | Shea Andrew,Beaverton,OR,US | Chinnakonda Raj,Portland,OR,US";"CHEUNG D | CHINNAKONDA R | COX G A | DAVIS T | JAIN C | SHEA A | VADDI V | YANG Z | YOUNG D";9;"US";"B2";2016-08-16;"4965 Days , (13 Years, 7 Months)";"Alive";"08";2013-12-04;"12";"2013-04-15";"04 | 04 | 12 | 04";"2013 | 2014";"US2013812175P,2013-04-15 | US14097063A,2013-12-04";"G06Q004004 (IPC 1-7) | G08B002118 (IPC 1-7) | H04W000402 (IPC 1-7) | G01C002134 | G06Q003002 | G06Q004004 | G07C000900 | G08B002118 | G08G000101 | H04L002908 | H04W002400 | H04W000402 | H04W0004021";"G06, G08, H04, G01, G07";"G06Q0040, G08B0021, H04W0004, G01C0021, G06Q0030, G07C0009, G08G0001, H04L0029, H04W0024";"G, H";"G06Q, G08B, H04W, G01C, G07C, G08G, H04L";"G06Q004004 (IPC 1-7), G08B002118 (IPC 1-7), H04W000402 (IPC 1-7), G01C002134, G06Q003002, G06Q004004, G07C000900, G08B002118, G08G000101, H04L002908, H04W002400, H04W000402, H04W0004021";"H04W0004021 | H04L006718 | H04L006722 | H04L006726 | H04W0004029 | G07C000928";"H04W0004021";"H04W0004021";"H04, G07";"T01-J05B4P | T01-M06S | T01-N02A3C | W01-A06C4 | W01-C01D3C";"US20130297688A1 | US20150118990A1 | US20130072226A1 | US20100118025A1 | US20070185785A1 | US8463295B1 | US20120302258A1 | WO2014172388A1 | CN105308416A | US20150172860A1 | US20130006522A1 | US20130091058A1 | US20120303498A1";13;5;"US20160345128A1 | US9866998B2";2;NA;"EN";"US20140308977A1 Alive | WO2014172388A1 Dead | AU2014254103A1 Dead | CA2909278A1 Alive | KR2015143722A Alive | CN105308416A Dead | EP2986946A1 Dead | JP2016524203A Alive | US9420418B2 Alive | EP2986946A4 Dead | AU2017203310A1 Dead | CA2909278C Alive";"20141016US20140308977A1";111;807;"100.0";1241;1193;NA
"EP2986946A1";2016;2013;2014;"T01 E |  W01 E";"PayPal Inc.,San Jose, CA 95131,US,101510611";"CHEUNG Dennis,Sunnyvale, California 94087,US | COX Greg Alan,Portland, Oregon 97225,US | YANG Zhenyin,Saratoga, California 95070,US | YOUNG Dawnray,Camas, Washington 98607,US | VADDI Viswa,Hillsboro, Oregon 97124,US | DAVIS Todd,Canby, Oregon 97013,US | JAIN Chintan,Ashburn, VA 20148,US | SHEA Andrew,Beaverton, Oregon 97006,US | CHINNAKONDA Raj,Portland, Oregon 97229,US";"CHEUNG D | CHINNAKONDA R | COX G A | DAVIS T | JAIN C | SHEA A | VADDI V | YANG Z | YOUNG D";9;"EP";"A1";2016-02-24;"0 Years";"Dead";"02";2014-04-15;"04";"2013-04-15 | 2013-12-04 | 2014-04-15";"04 | 12 | 04 | 04 | 12 | 04";"2013 | 2014";NA;"G06Q004004 (IPC 1-7) | G08B002118 (IPC 1-7) | H04W000402 (IPC 1-7) | G01C002134 | G06Q003002 | G06Q004004 | G07C000900 | G08B002118 | G08G000101 | H04L002908 | H04W002400 | H04W000402 | H04W0004021";"G06, G08, H04, G01, G07";"G06Q0040, G08B0021, H04W0004, G01C0021, G06Q0030, G07C0009, G08G0001, H04L0029, H04W0024";"G, H";"G06Q, G08B, H04W, G01C, G07C, G08G, H04L";"G06Q004004 (IPC 1-7), G08B002118 (IPC 1-7), H04W000402 (IPC 1-7), G01C002134, G06Q003002, G06Q004004, G07C000900, G08B002118, G08G000101, H04L002908, H04W002400, H04W000402, H04W0004021";"H04W0004021 | H04L006718 | H04L006722 | H04L006726 | H04W0004029 | G07C000928";"H04W0004021";"H04W0004021";"H04, G07";"T01-J05B4P | T01-M06S | T01-N02A3C | W01-A06C4 | W01-C01D3C";"EP2518678A1 | EP2541484A1 | US20120233238A1";3;1;NA;0;"EP R AL;AT;BE;BG;CH;CY;CZ;DE;DK;EE;ES;FI;FR;GB;GR;HR;HU;IE;IS;IT;LI;LT;LU;LV;MC;MK;MT;NL;NO;PL;PT;RO;RS;SE;SI;SK;SM;TR";"EN";"US20140308977A1 Alive | WO2014172388A1 Dead | AU2014254103A1 Dead | CA2909278A1 Alive | KR2015143722A Alive | CN105308416A Dead | EP2986946A1 Dead | JP2016524203A Alive | US9420418B2 Alive | EP2986946A4 Dead | AU2017203310A1 Dead | CA2909278C Alive";"20141016US20140308977A1";112;10;"1.77";10;10;NA
"US10212549B2";2019;2015;2018;"T01 E |  W01 E";"PAYPAL INC.,San Jose,CA,US";"Todasco Michael Charles,Santa Clara,CA,US | Todasco Christina Marie,Santa Clara,CA,US";"TODASCO C M | TODASCO M C";2;"US";"B2";2019-02-19;"5394 Days , (14 Years, 9 Months)";"Alive";"02";2018-01-16;"01";"2015-02-06";"02 | 02 | 01";"2015 | 2018";"US15872716A,2018-01-16 | US14616549A,2015-02-06";"H04L002912 | H04W002400 | H04W000402";"H04";"H04L0029, H04W0024, H04W0004";"H";"H04L, H04W";"H04L002912, H04W002400, H04W000402";"H04W0004023 | H04L00611594";"H04W0004023";"H04W0004023";"H04";"T01-C03C | T01-J05B4P | T01-N01A2D | T01-N02A3C | T01-S03 | W01-A06C4";"US20110238755A1 | US20140099920A1 | US20160014677A1 | US20120150960A1 | US20150245184A1 | US20160165002A1";6;1;NA;0;NA;"EN";"US20180242108A1 Alive | US10212549B2 Alive";"20160811US20160234641A1";12;277;"100.0";321;319;291
"US9872140B2";2018;2015;2015;"T01 E |  T05 E |  W01 E";"PAYPAL INC.,San Jose,CA,US";"Todasco Michael Charles,Santa Clara,CA,US | Todasco Christina Marie,Santa Clara,CA,US";"TODASCO C M | TODASCO M C";2;"US";"B2";2018-01-16;"5459 Days , (14 Years, 11 Months)";"Alive";"01";2015-02-06;"02";"2015-02-06";"02 | 02";"2015";"US14616549A,2015-02-06";"G06Q009900 | H04L002912 | H04W002400 | H04W000402";"G06, H04";"G06Q0099, H04L0029, H04W0024, H04W0004";"G, H";"G06Q, H04L, H04W";"G06Q009900, H04L002912, H04W002400, H04W000402";"H04W0004023 | H04L00611594";"H04W0004023";"H04W0004023";"H04";"T01-C03C | T01-J05B4P | T01-N01A2D | T01-N01D | T01-N02A3 | T01-S03 | T05-L02 | W01-A06C4 | W01-C01D3C | W01-C01G8S | W01-C01R";"US20140099920A1 | US20160014677A1 | US20160165002A1 | US20150245184A1";4;0;NA;0;NA;"EN";"US20160234641A1 Alive | WO2016126310A1 Dead | US9872140B2 Alive";"20160811US20160234641A1";13;454;"100.0";358;381;423
"WO2016126310A1";2016;2015;2015;"T01 E |  T05 E |  W01 E";"PAYPAL INC.,US";"TODASCO Michael Charles,US | TODASCO Christina Marie,US";"TODASCO C M | TODASCO M C";2;"WO";"A1";2016-08-11;NA;"Dead";"08";2015-12-02;"12";"2015-02-06";"02 | 02";"2015";"US14616549A,2015-02-06";"G06Q009900 | H04L002912 | H04W002400 | H04W000402";"G06, H04";"G06Q0099, H04L0029, H04W0024, H04W0004";"G, H";"G06Q, H04L, H04W";"G06Q009900, H04L002912, H04W002400, H04W000402";"H04W0004023 | H04L00611594";"H04W0004023";"H04W0004023";"H04";"T01-C03C | T01-J05B4P | T01-N01A2D | T01-N01D | T01-N02A3 | T01-S03 | T05-L02 | W01-A06C4 | W01-C01D3C | W01-C01G8S | W01-C01R";"US20110238755A1 | US20120150960A1";2;0;NA;0;"XX N AE;AG;AL;AM;AO;AT;AU;AZ;BA;BB;BG;BH;BN;BR;BW;BY;BZ;CA;CH;CL;CN;CO;CR;CU;CZ;DE;DK;DM;DO;DZ;EC;EE;EG;ES;FI;GB;GD;GE;GH;GM;GT;HN;HR;HU;ID;IL;IN;IR;IS;JP;KE;KG;KN;KP;KR;KZ;LA;LC;LK;LR;LS;LU;LY;MA;MD;ME;MG;MK;MN;MW;MX;MY;MZ;NA;NG;NI;NO;NZ;OM;PA;PE;PG;PH;PL;PT;QA;RO;RS;RU;RW;SA;SC;SD;SE;SG;SK;SL;SM;ST;SV;SY;TH;TJ;TM;TN;TR;TT;TZ;UA;UG;US;UZ;VC;VN;ZA;ZM;ZW |  EP R AL;AT;BE;BG;CH;CY;CZ;DE;DK;EE;ES;FI;FR;GB;GR;HR;HU;IE;IS;IT;LT;LU;LV;MC;MK;MT;NL;NO;PL;PT;RO;RS;SE;SI;SK;SM;TR |  OA R BF;BJ;CF;CG;CI;CM;GA;GN;GQ;GW;KM;ML;MR;NE;SN;TD;TG |  AP R BW;GH;GM;KE;LR;LS;MW;MZ;NA;RW;SD;SL;ST;SZ;TZ;UG;ZM;ZW |  EA R AM;AZ;BY;KG;KZ;RU;TJ;TM";"EN";"US20160234641A1 Alive | WO2016126310A1 Dead | US9872140B2 Alive";"20160811US20160234641A1";131;10;"0.73";174;162;NA
"US10462602B2";2019;2013;2018;"T01 E |  W01 E";"PAYPAL INC.,San Jose,CA,US";"Cheung Dennis,San Francisco,CA,US | Cox Greg Alan,Portland,OR,US | Yang Zhenyin,Saratoga,CA,US | Young Dawnray,Camas,WA,US | Vaddi Viswa,Hillsboro,OR,US | Davis Todd,Canby,OR,US | Jain Chintan,Ashburn,VA,US | Shea Andrew,Beaverton,OR,US | Chinnakonda Rajkumar,Portland,OR,US";"CHEUNG D | CHINNAKONDA R | COX G A | DAVIS T | JAIN C | SHEA A | VADDI V | YANG Z | YOUNG D";9;"US";"B2";2019-10-29;"4965 Days , (13 Years, 7 Months)";"Alive";"10";2018-01-09;"01";"2013-04-15 | 2013-12-04 | 2016-08-02";"04 | 12 | 08 | 04 | 12 | 08 | 01";"2013 | 2016 | 2018";"US15866373A,2018-01-09 | US2013812175P,2013-04-15 | US15226178A,2016-08-02 | US14097063A,2013-12-04";"H04L002908 | H04W002400 | H04W0004021 | H04W0004029 | G07C000900";"H04, G07";"H04L0029, H04W0024, H04W0004, G07C0009";"H, G";"H04L, H04W, G07C";"H04L002908, H04W002400, H04W0004021, H04W0004029, G07C000900";"H04W0004021 | H04L006718 | H04L006722 | H04L006726 | H04W0004029 | G07C000928";"H04W0004021";"H04W0004021";"H04, G07";"T01-E01C | T01-J05B4P | T01-N01A2D | T01-N02A3C | T01-S03 | W01-A06C4";"US20150237475A1 | US20150118990A1 | US20160066141A1 | US8463295B1 | US20140161315A1 | US20090265215A1 | US20140282641A1 | US20070185785A1 | US20150172860A1 | US20130297688A1 | US20130006522A1";11;1;NA;0;NA;"EN";"US20180234793A1 Alive | US10462602B2 Alive";"20141016US20140308977A1";14;277;"100.0";468;444;279
"US9818146B2";2017;2011;2017;"T01 E |  W01 E";"PAYPAL INC.,San Jose,CA,US";"Caralis Jim,Winthrop,MA,US | Kogan Nataly,Newton,MA,US | Nakamura Masumi,Cambridge,MA,US | Mastroianni Michael,Brookline,MA,US | Sundram Jason,Somerville,MA,US";"CARALIS J | KOGAN N | MASTROIANNI M | NAKAMURA M | SUNDRAM J";5;"US";"B2";2017-11-14;"4237 Days , (11 Years, 7 Months)";"Alive";"11";2017-01-24;"01";"2011-12-07 | 2013-06-10 | 2016-02-01";"12 | 06 | 02 | 12 | 06 | 02 | 01";"2011 | 2013 | 2016 | 2017";"US15414601A,2017-01-24 | US15011985A,2016-02-01 | US13913768A,2013-06-10 | US13313681A,2011-12-07";"G06Q003006 | G06Q005000 | H04L002908 | H04W002400 | H04W000402 | H04W000420";"G06, H04";"G06Q0030, G06Q0050, H04L0029, H04W0024, H04W0004";"G, H";"G06Q, H04L, H04W";"G06Q003006, G06Q005000, H04L002908, H04W002400, H04W000402, H04W000420";"G06Q00300631 | G06Q005001 | H04L0067306 | H04W0004021 | H04W000421";"G06Q00300631";"G06Q00300631";"G06, H04";"T01-N01A2 | T01-S03 | W01-A06C4 | W01-C01P7";"US5864823A | US20090239552A1 | US20040162830A1 | US20070244633A1 | US20110289142A1 | US6357042B2 | US6438579B1 | US20090100037A1 | WO2014151792A2 | US20020124249A1 | US20040039579A1 | US20120036015A1 | US20080120129A1 | US20110289433A1 | WO2014151792A3 | US6718551B1 | US7925723B1 | WO2014092790A1";18;0;"US10042032B2 | US10362137B2 | US20170188101A1";3;NA;"EN";"US20170262924A1 Alive | US9818146B2 Alive";"20130611US8463295B1";15;454;"100.0";689;662;346
"US9552605B2";2017;2011;2016;"T01 E |  W01 E |  W04 E";"PAYPAL INC.,San Jose,CA,US";"Caralis Jim,Winthrop,MA,US | Kogan Nataly,Newton,MA,US | Nakamura Masumi,Cambridge,MA,US | Mastroianni Michael,Brookline,MA,US | Sundram Jason,Somerville,MA,US";"CARALIS J | KOGAN N | MASTROIANNI M | NAKAMURA M | SUNDRAM J";5;"US";"B2";2017-01-24;"4237 Days , (11 Years, 7 Months)";"Alive";"01";2016-02-01;"02";"2011-12-07 | 2013-06-10";"12 | 06 | 12 | 06 | 02";"2011 | 2013 | 2016";"US15011985A,2016-02-01 | US13913768A,2013-06-10 | US13313681A,2011-12-07";"G06Q003006 | G06Q005000 | H04L002908 | H04W002400 | H04W000402 | H04W000420";"G06, H04";"G06Q0030, G06Q0050, H04L0029, H04W0024, H04W0004";"G, H";"G06Q, H04L, H04W";"G06Q003006, G06Q005000, H04L002908, H04W002400, H04W000402, H04W000420";"G06Q00300631 | G06Q005001 | H04L0067306 | H04W0004021 | H04W000421";"G06Q00300631";"G06Q00300631";"G06, H04";"T01-M06A1A | T01-N01A2 | T01-S03 | W01-A06C4 | W01-C01D3C | W01-C01G8S | W04-X03G4";"US20040039579A1 | US20120126974A1 | US20150065177A1 | US5848373A | US6069570A | US6198927B1 | US6208297B1 | US6243588B1 | US6246882B1 | US6577946B2 | US6732080B1 | US7254388B2 | US20030063128A1 | US20030130787A1 | US20030139190A1 | US20040002359A1 | US20060211453A1 | US6718551B1 | US7216109B1 | US20060236257A1 | US20080177749A1 | US20120129553A1 | US20130150086A1 | US5890068A | US6266014B1 | US6424840B1 | US6714797B1 | US6807479B2 | US8463295B1 | US20010055976A1 | US20030098892A1 | US20030126150A1 | US20040043773A1 | US20040192339A1 | US20060099959A1 | US20060145837A1 | US20030220835A1 | US20060271501A1 | US20070202844A1 | US20090239552A1 | US20130346233A1 | US20150163632A1 | US6317684B1 | US6690322B2 | US7502133B2 | US8909248B2 | US20020078444A1 | US20020145984A1 | US20040203931A1 | US20060064346A1 | US20060270421A1 | US20070244633A1 | US20090306886A1 | US6091956A | US6314365B1 | US6347230B2 | US6357042B2 | US6519463B2 | US6580914B1 | US6590533B2 | US6625457B1 | US8326315B2 | US8862150B2 | US20020143930A1 | US20030125043A1 | US20030216960A1 | US20040203901A1 | US20020155844A1 | US20070024469A1 | US20080035725A1 | US20090033633A1 | US5724660A | US6097958A | US6167274A | US6204812B1 | US6456852B2 | US6618593B1 | US7092702B2 | US7142858B2 | US7199815B2 | US7385499B2 | US20030134645A1 | US20030197740A1 | US20050250516A1 | US20150148078A1 | US6259381B1 | US6259923B1 | US6341255B1 | US6563459B2 | US7130622B2 | US20020065689A1 | US20030208409A1 | US20040021567A1 | US20080313078A1 | US20110047075A1 | US5732354A | US6246861B1 | US6330452B1 | US6356543B2 | US6404388B1 | US6477363B1 | US7138913B2 | US7273172B2 | US7669759B1 | US7747259B2 | US7848765B2 | US9251536B2 | US20030195044A1 | US20040192349A1 | US20050159883A1 | US20060047825A1 | US20090100037A1 | US20070015517A1 | US20080126251A1 | US20090156182A1 | US20120036015A1 | US6157841A | US6208857B1 | US7164986B2 | US20050278749A1";120;68;NA;0;NA;"EN";"US20160148299A1 Alive | US9552605B2 Alive";"20130611US8463295B1";16;807;"100.0";2087;1911;263
"US9668096B2";2017;2005;2015;"T01 E |  W01 E";"PAYPAL INC.,San Jose,CA,US";"Philips Alan,Hopkinton,MA,US | Schroth Frank,Milton,MA,US | Palmer Geoffrey M.,Newton,MA,US | Zielinski Stefan G.,Watertown,MA,US | Smith Allen P.,Milton,MA,US | Cunningham III Colin M.,Cambridge,MA,US";"CUNNINGHAM C M | PALMER G M | PHILIPS A | PHILLIPS A | SCHROTH F | SMITH A P | ZIELINSKI S G";6;"US";"B2";2017-05-30;"1852 Days , (5 Years)";"Alive";"05";2015-01-31;"01";"2005-05-27 | 2007-03-23 | 2012-01-30 | 2014-11-06";"05 | 03 | 01 | 11 | 05 | 01 | 11 | 01";"2005 | 2007 | 2012 | 2014 | 2015";"US14611210A,2015-01-31 | US14534797A,2014-11-06 | US13361113A,2012-01-30 | US2005140273A,2005-05-27";"G08B002102 | H04W002400 | H04W000402 | H04W000412 | H04W000414 | H04W000810 | H04W000814 | H04W009208";"G08, H04";"G08B0021, H04W0024, H04W0004, H04W0008, H04W0092";"G, H";"G08B, H04W";"G08B002102, H04W002400, H04W000402, H04W000412, H04W000414, H04W000810, H04W000814, H04W009208";"H04W0004021 | G08B00210236 | G08B00210261 | G08B00210269 | G08B00210272 | H04W000412 | H04W000414 | H04W000810 | H04W000814 | H04W009208";"H04W0004021";"H04W0004021";"H04, G08";"T01-J05B4P | T01-S03 | W01-A06C4 | W01-C02B7L";"US20030063128A1 | US20030197740A1 | US5649114A | US5848373A | US5938721A | US6069570A | US6091956A | US6097958A | US6154172A | US6198927B1 | US6208857B1 | US6246882B1 | US6259381B1 | US6269361B1 | US6314365B1 | US6424840B1 | US6625457B1 | US6718551B1 | US6757544B2 | US7203598B1 | US7233913B2 | US20020198003A1 | US20030216960A1 | US20030220835A1 | US20040030598A1 | US20040139330A1 | US20040192339A1 | US20070083437A1 | US20070100802A1 | US20080040216A1 | US20080102947A1 | US20080313078A1 | US20090156182A1 | US20090156234A1 | US20110047075A1 | US20110212717A1 | US20130080239A1 | US20150032531A1 | US5732354A | US6208297B1 | US6266014B1 | US6330452B1 | US6374176B1 | US6664922B1 | US6732120B1 | US6819919B1 | US7385499B2 | US7502133B2 | US7668931B2 | US9251536B2 | US20050064852A1 | US20070015517A1 | US20070118430A1 | US20080104542A1 | US20080177749A1 | US20090306886A1 | US20120239501A1 | US20050159883A1 | US5905246A | US5948040A | US6321158B1 | US6356543B2 | US6714797B1 | US6732080B1 | US7130622B2 | US7138913B2 | US7389919B2 | US7706740B2 | US8371502B1 | US8549028B1 | US8909248B2 | US20020065689A1 | US20030004802A1 | US20030139190A1 | US20040111332A1 | US20060047825A1 | US20060224583A1 | US20070124229A1 | US20080035725A1 | US20080046415A1 | US20080070588A1 | US20120036015A1 | US20130150086A1 | US20150006291A1 | US20150065177A1 | US20030134645A1 | US20030098892A1 | US6122520A | US6204812B1 | US6243588B1 | US6357042B2 | US6404388B1 | US6442529B1 | US6580914B1 | US7197719B2 | US7273172B2 | US7669759B1 | US7909326B2 | US8423408B1 | US8463295B1 | US8566197B2 | US8732019B2 | US20020078444A1 | US20020082941A1 | US20020115453A1 | US20030046158A1 | US20030130787A1 | US20040002359A1 | US20040023666A1 | US20040192349A1 | US20060089792A1 | US20060270421A1 | US20060271501A1 | US20060277564A1 | US20070244633A1 | US20080251580A1 | US20080290987A1 | US20090033633A1 | US20090076911A1 | US20090100037A1 | US20090197616A1 | US20090204672A1 | US20090234861A1 | US20120126974A1 | US20120239483A1 | US20130346233A1 | US5724521A | US6157841A | US6347230B2 | US6374177B1 | US6456852B2 | US6690322B2 | US7092702B2 | US7103368B2 | US7203502B2 | US7216109B1 | US7593871B1 | US7747259B2 | US8041604B1 | US8099109B2 | US8249884B2 | US8355948B2 | US8862150B2 | US20020155844A1 | US20030037041A1 | US20030040324A1 | US20040021567A1 | US20050065916A1 | US20050278749A1 | US20060148488A1 | US20060271281A1 | US20070024469A1 | US20070165050A1 | US20080248815A1 | US20090024476A1 | US20090061884A1 | US20090132961A1 | US20090276309A1 | US20120143684A1 | US5724660A | US5890068A | US6014090A | US6496857B1 | US6519463B2 | US6590529B2 | US6741188B1 | US7082365B2 | US7142858B2 | US7213214B2 | US7254388B2 | US7532899B2 | US7657436B2 | US7751971B2 | US7848765B2 | US20020111154A1 | US20020160766A1 | US20030007006A1 | US20030126150A1 | US20040039579A1 | US20040203931A1 | US20050044032A1 | US20060064346A1 | US20060145837A1 | US20070202844A1 | US20090037101A1 | US20130110624A1 | US6167274A | US6317684B1 | US6553313B1 | US7119828B1 | US7196639B2 | US7228287B1 | US7246109B1 | US7715981B2 | US7720436B2 | US8326315B2 | US20010055976A1 | US20020145984A1 | US20030055726A1 | US20040142750A1 | US20050250516A1 | US20060236257A1 | US20080126251A1 | US20090005077A1 | US20090076925A1 | US20090239552A1 | US20100049609A1 | US20150163632A1 | US5559707A | US5946687A | US6246861B1 | US6259923B1 | US6341255B1 | US6477363B1 | US6529159B1 | US6552682B1 | US6563459B2 | US6577946B2 | US6590533B2 | US6618593B1 | US6807479B2 | US7164986B2 | US7199815B2 | US7720844B2 | US20020046259A1 | US20020143930A1 | US20030125043A1 | US20040043773A1 | US20040203901A1 | US20060098028A1 | US20060099959A1 | US20060218114A1 | US20080126515A1 | US20090063229A1 | US20100114683A1 | US20110106605A1 | US20120129553A1 | US20130173377A1";238;174;"US10169017B2 | US10360760B2 | US10362470B2 | US10623892B1";4;NA;"EN";"US20150148078A1 Alive | US9668096B2 Alive";"20061130US20060270421A1";17;1691;"100.0";1462;1537;758
